evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
227,303421,1183663412,7,7,2016,17,31,38,963468925,59.8904,0.952746,1.50429,58.1745,0.243681,1.92091,194.672,0.278928,2.52516,110.598,1.63325,0.257477,0.257477,83.0
228,303421,1214900629,7,7,2016,17,42,44,9618305,82.3628,1.51168,0.683965,22.6761,2.04129,0.145692,80.7826,-0.0405518,-2.22657,32.3807,2.76081,0.275704,0.275704,0.0
229,303421,232308957,7,7,2016,13,55,41,124395810,42.1036,0.304931,-0.322734,53.1325,1.26683,0.914046,60.2328,-1.54791,-1.59033,69.9641,2.59513,0.0393714,0.0393714,0.0
230,303421,136578143,7,7,2016,13,33,28,463996155,41.6829,1.69408,-0.703584,22.9609,2.44552,-0.538054,16.8952,1.75268,2.2006,35.2956,2.41236,0.625554,0.625554,0.0
231,303421,3397265286,8,7,2016,3,4,44,175021660,76.7677,-1.79694,1.37655,27.159,-0.231049,0.154221,40.028,-0.781955,-2.44632,54.2997,-1.85569,0.018051,0.018051,0.0
232,303421,3250902435,8,7,2016,2,25,6,841027710,18.0537,2.04949,1.35454,34.0385,0.414549,2.85997,17.1383,1.96212,-1.71401,104.24,-2.82904,0.197824,0.197824,0.0
153,303499,280499455,8,7,2016,16,49,11,320084010,58.4257,-0.594341,0.0452619,168.44,-1.75208,-0.916099,208.974,-1.02643,2.10386,42.2255,-0.33552,9.48471e-06,9.48471e-06,78.0
154,303499,710781377,8,7,2016,18,22,58,510163135,32.2733,0.88081,-1.24483,31.9973,0.28058,-0.877009,68.4273,0.803284,1.16782,52.1467,-2.0901,0.642586,0.642586,0.0
155,303499,568903055,8,7,2016,17,51,35,887717100,79.8983,0.780154,0.182245,24.5955,0.874322,-0.694003,53.6278,-1.26786,-2.45398,67.0604,2.57729,0.364916,0.364916,0.0
354,303560,1382781388,9,7,2016,23,1,16,861994175,43.4947,-1.5857,-1.15194,118.364,-0.520168,-2.10764,217.008,-1.88609,0.983371,76.3451,-2.69408,0.00132694,0.00132694,61.0
355,303560,2215217284,10,7,2016,2,26,50,444450440,41.4908,-1.08316,2.73159,36.8281,-0.37752,-1.90386,16.5345,-0.803917,0.477023,40.2272,0.261724,0.48281,0.48281,0.0
356,303560,2872228815,10,7,2016,5,12,18,344143185,56.2922,0.973263,2.49453,28.0304,1.5095,1.25173,28.0019,2.05447,-0.382298,76.7421,-2.20871,0.296503,0.296503,0.0
357,303560,2837598598,10,7,2016,5,3,31,212380865,37.8245,-1.72981,0.901502,20.232,-2.44137,2.47964,20.4375,-0.861248,-2.54382,74.0116,1.51643,0.184522,0.184522,0.0
39,303638,763686179,10,7,2016,16,42,29,725643920,27.4033,0.617789,-1.6924,25.9924,0.186238,-2.58637,20.4767,0.689705,0.0750602,39.23,2.17901,0.5411,0.5411,78.0
40,303638,2953490119,11,7,2016,1,24,48,383713325,17.9974,-1.33136,-1.02834,22.9037,0.2833,1.77995,41.9905,0.951999,2.35861,62.0147,-0.829496,0.247826,0.247826,0.0
41,303638,2426536625,10,7,2016,23,11,13,313095960,131.351,-1.15852,-0.9979,43.286,-2.23324,2.2394,25.8702,1.2709,2.86691,72.709,2.29851,1.45735e-05,1.45735e-05,0.0
42,303638,3685770422,11,7,2016,4,49,10,81135740,544.039,0.331222,-2.13772,57.4056,-1.08043,-1.32003,770.345,-1.32203,1.58561,115.65,-2.32742,1.27837e-12,1.27837e-12,0.0
43,303638,1178515618,10,7,2016,18,13,31,958292345,102.138,-0.322867,2.70555,56.9654,-0.723537,-2.80354,104.439,-1.04294,0.234349,59.1373,-1.07224,0.403594,0.403594,0.0
